,ARP_poisioning,DDOS_Slowloris,DOS_SYN_Hping,MQTT_Publish,Metasploit_Brute_Force_SSH,NMAP_FIN_SCAN,NMAP_OS_DETECTION,NMAP_TCP_scan,NMAP_UDP_SCAN,NMAP_XMAS_TREE_SCAN,Thing_Speak,Wipro_bulb
ARP_poisioning,0.9913941480206541,0.0,0.0,0.0,0.0,0.0017211703958691911,0.0,0.0,0.0017211703958691911,0.0,0.0051635111876075735,0.0
DDOS_Slowloris,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOS_SYN_Hping,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MQTT_Publish,0.001607717041800643,0.0,0.0,0.9951768488745981,0.0,0.0,0.0,0.0,0.0,0.0,0.003215434083601286,0.0
Metasploit_Brute_Force_SSH,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0
NMAP_FIN_SCAN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NMAP_OS_DETECTION,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NMAP_TCP_scan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NMAP_UDP_SCAN,0.005141388174807198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9948586118251928,0.0,0.0,0.0
NMAP_XMAS_TREE_SCAN,0.0,0.0,0.0,0.0,0.0033112582781456954,0.0033112582781456954,0.0,0.0,0.0,0.9933774834437086,0.0,0.0
Thing_Speak,0.004934210526315789,0.0,0.0,0.0008223684210526315,0.0,0.0,0.0,0.0,0.001644736842105263,0.0,0.990953947368421,0.001644736842105263
Wipro_bulb,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.07894736842105263,0.868421052631579
